,housing_units
0,372560
1,372560
2,372560
3,372560
4,372560
5,372560
6,372560
7,372560
8,372560
9,372560
10,372560
11,372560
12,372560
13,372560
14,372560
15,372560
16,372560
17,372560
18,372560
19,372560
20,372560
21,372560
22,372560
23,372560
24,372560
25,372560
26,372560
27,372560
28,372560
29,372560
30,372560
31,372560
32,372560
33,372560
34,372560
35,372560
36,372560
37,372560
38,372560
39,372560
40,372560
41,372560
42,372560
43,372560
44,372560
45,372560
46,372560
47,372560
48,372560
49,372560
50,372560
51,372560
52,372560
53,372560
54,372560
55,372560
56,372560
57,372560
58,372560
59,374507
60,374507
61,374507
62,374507
63,374507
64,374507
65,374507
66,374507
67,374507
68,374507
69,374507
70,374507
71,374507
72,374507
73,374507
74,374507
75,374507
76,374507
77,374507
78,374507
79,374507
80,374507
81,374507
82,374507
83,374507
84,374507
85,374507
86,374507
87,374507
88,374507
89,374507
90,374507
91,374507
92,374507
93,374507
94,374507
95,374507
96,374507
97,374507
98,374507
99,374507
100,374507
101,374507
102,374507
103,374507
104,374507
105,374507
106,374507
107,374507
108,374507
109,374507
110,374507
111,374507
112,374507
113,374507
114,374507
115,374507
116,374507
117,374507
118,376454
119,376454
120,376454
121,376454
122,376454
123,376454
124,376454
125,376454
126,376454
127,376454
128,376454
129,376454
130,376454
131,376454
132,376454
133,376454
134,376454
135,376454
136,376454
137,376454
138,376454
139,376454
140,376454
141,376454
142,376454
143,376454
144,376454
145,376454
146,376454
147,376454
148,376454
149,376454
150,376454
151,376454
152,376454
153,376454
154,376454
155,376454
156,376454
157,376454
158,376454
159,376454
160,376454
161,376454
162,376454
163,376454
164,376454
165,376454
166,376454
167,376454
168,376454
169,376454
170,376454
171,376454
172,376454
173,376454
174,376454
175,376454
176,378401
177,378401
178,378401
179,378401
180,378401
181,378401
182,378401
183,378401
184,378401
185,378401
186,378401
187,378401
188,378401
189,378401
190,378401
191,378401
192,378401
193,378401
194,378401
195,378401
196,378401
197,378401
198,378401
199,378401
200,378401
201,378401
202,378401
203,378401
204,378401
205,378401
206,378401
207,378401
208,378401
209,378401
210,378401
211,378401
212,378401
213,378401
214,378401
215,378401
216,378401
217,378401
218,378401
219,378401
220,378401
221,378401
222,378401
223,378401
224,378401
225,378401
226,378401
227,378401
228,378401
229,378401
230,378401
231,378401
232,378401
233,380348
234,380348
235,380348
236,380348
237,380348
238,380348
239,380348
240,380348
241,380348
242,380348
243,380348
244,380348
245,380348
246,380348
247,380348
248,380348
249,380348
250,380348
251,380348
252,380348
253,380348
254,380348
255,380348
256,380348
257,380348
258,380348
259,380348
260,380348
261,380348
262,380348
263,380348
264,380348
265,380348
266,380348
267,380348
268,380348
269,380348
270,380348
271,380348
272,380348
273,380348
274,380348
275,380348
276,380348
277,380348
278,380348
279,380348
280,380348
281,380348
282,380348
283,380348
284,380348
285,380348
286,380348
287,380348
288,380348
289,380348
290,380348
291,380348
292,380348
293,382295
294,382295
295,382295
296,382295
297,382295
298,382295
299,382295
300,382295
301,382295
302,382295
303,382295
304,382295
305,382295
306,382295
307,382295
308,382295
309,382295
310,382295
311,382295
312,382295
313,382295
314,382295
315,382295
316,382295
317,382295
318,382295
319,382295
320,382295
321,382295
322,382295
323,382295
324,382295
325,382295
326,382295
327,382295
328,382295
329,382295
330,382295
331,382295
332,382295
333,382295
334,382295
335,382295
336,382295
337,382295
338,382295
339,382295
340,382295
341,382295
342,382295
343,382295
344,382295
345,382295
346,382295
347,382295
348,382295
349,382295
350,382295
351,384242
352,384242
353,384242
354,384242
355,384242
356,384242
357,384242
358,384242
359,384242
360,384242
361,384242
362,384242
363,384242
364,384242
365,384242
366,384242
367,384242
368,384242
369,384242
370,384242
371,384242
372,384242
373,384242
374,384242
375,384242
376,384242
377,384242
378,384242
379,384242
380,384242
381,384242
382,384242
383,384242
384,384242
385,384242
386,384242
387,384242
388,384242
389,384242
390,384242
391,384242
392,384242
393,384242
394,384242
395,384242
396,384242
